Country,Male Including NMSC Number,Male Including NMSC Rate,Male Excluding NMSC Number, Male Excluding NMSC Rate,Female Including NMSC Number,Female Including NMSC Rate,Female Excluding NMSC Number,Female Excluding NMSC Rate
ÿAustralia,"116,363",514.3,"80,960",344.4,"95,969",415.2,"70,569",303.8
ÿNew Zealand,"20,562",473.4,"14,766",325.4,"17,595",386.3,"12,785",277.3
ÿUnited States,"1,283,898",401.7,"930,417",312.1,"1,096,291",341.7,"902,133",299.6
ÿHungary,"34,250",395.9,"32,450",377.2,"32,090",298.8,"30,059",285.5
ÿDenmark,"25,826",394,"23,038",363.4,"23,014",361.2,"20,926",340.8
ÿLithuania,"9,245",391.3,"9,091",386.4,"7,168",224,"7,028",221.9
ÿIreland,"17,252",386.9,"14,407",333.2,"13,990",307.5,"12,477",283.5
ÿFrance,"263,339",386.4,"234,479",355.1,"220,229",301,"200,635",285.5
ÿNorway,"21,733",383.6,"20,189",362.7,"18,572",337.6,"17,260",322.5
ÿCroatia,"15,607",367.3,"14,957",356.8,"13,202",277,"12,555",271.4
ÿCanada,"153,660",365.9,"119,086",298.6,"138,438",441.8,"112,988",289.8
ÿLatvia,"5,908",364,"5,754",354.9,"5,550",249.4,"5,328",241.4
ÿBelarus,"24,933",360.5,"24,321",351.9,"21,469",223.6,"20,698",218.5
ÿEstonia,"4,214",356.4,"4,091",347.9,"3,836",237.9,"3,726",234.4
ÿNetherlands,"69,570",350.8,"60,845",317.4,"62,749",336.2,"55,379",310.6
ÿBelgium,"43,645",350.8,"38,869",322,"37,487",306.6,"33,811",287.9
ÿSlovakia,"16,698",346.8,"15,956",332.8,"14,215",238,"13,317",228.6
ÿSlovenia,"7,838",343.7,"7,463",331.3,"6,564",275.5,"6,256",268.9
ÿPortugal,"37,865",342.7,"36,152",331,"31,702",258.5,"30,448",252.6
ÿGuadeloupe,"1,312",340.2,"1,271",328.5,811,184.2,771,177.7
ÿSweden,"37,869",334.8,"33,658",309.3,"31,392",289.1,"28,136",271.4
ÿRomania,"57,311",330.8,"54,859",318.5,"47,350",238.1,"45,612",232.3
ÿÿSwitzerland,"31,996",329.9,"26,188",282.9,"26,334",260.2,"21,965",230.8
ÿUnited Kingdom,"242,245",327.7,"217,526",302.7,"212,709",292.5,"199,955",281.9
ÿNew Caledonia,631,325.3,616,317.9,518,256.9,507,252.1
ÿUruguay,"8,579",322.3,"7,919",299.1,"8,238",253.2,"7,745",240.2
ÿSpain,"158,410",319.9,"149,854",307.1,"120,319",238,"114,674",232.1
ÿCzech Republic,"35,033",317.5,"32,448",299.5,"30,643",254.9,"28,659",244.6
ÿItaly,"232,150",312.1,"213,092",293.8,"204,092",264.1,"194,148",256.8
ÿJapan,"580,535",309.8,"573,914",306.9,"424,622",234.2,"418,892",232.5
ÿPoland,"109,365",307,"106,060",299.1,"99,535",233.6,"95,977",229.1
ÿGermany,"323,545",306.5,"278,113",274.7,"282,260",249,"251,842",231.2
ÿMalta,"1,529",299.8,"1,444",288.9,"1,326",271.6,"1,294",268
ÿMoldova,"7,985",295.3,"7,329",271.8,"6,831",189.4,"6,048",172.3
ÿGreece,"36,564",295,"35,194",289,"29,139",231.3,"27,982",227.2
ÿFinland,"19,737",294.9,"18,471",281.4,"17,923",266.7,"16,803",257.5
ÿSerbia,"22,910",289.9,"22,062",281.1,"19,129",219.6,"18,534",215.7
ÿCyprus,"3,070",289.9,"2,926",279.3,"3,128",300.1,"2,995",292.9
ÿRussia,"301,496",288.5,"292,425",280.2,"334,064",230.8,"321,850",224.3
ÿAustria,"27,321",287.6,"24,442",265.3,"23,361",235.7,"21,083",223.5
ÿLuxembourg,"1,742",285.8,"1,510",253.9,"1,698",267.2,"1,473",242.1
ÿMongolia,"3,499",280.4,"3,479",278.7,"3,200",202,"3,172",200.1
ÿTurkey,"132,476",273.7,"127,227",263.1,"107,537",192.2,"104,557",187.5
ÿIceland,909,271.7,847,257.2,868,266.8,816,255
ÿMartinique,"1,175",266.9,"1,137",258,882,189.5,838,181.1
ÿPuerto Rico,"7,486",266.6,"7,170",254.2,"6,292",199.7,"6,003",189.8
ÿMontenegro,"1,415",261.9,"1,282",239.6,"1,324",221.1,"1,228",208.3
ÿArmenia,"5,046",257.5,"4,984",254.4,"4,474",163.9,"4,413",161.9
ÿBulgaria,"17,515",253.9,"16,812",245.6,"15,297",203.2,"14,673",198
ÿSouth Korea,"128,045",252.5,"126,189",249,"109,656",228.5,"106,774",224.6
ÿBosnia and Herzegovina,"7,841",251.7,"7,575",243.9,"6,424",194.2,"6,190",189.2
ÿFrench Guiana,341,250.5,325,239.3,248,163.6,238,157.2
ÿIsrael,"14,746",250.3,"14,646",248.7,"15,692",244.1,"15,588",242.7
ÿR‚union,"1,770",248.7,"1,770",248.7,"1,245",163.9,"1,244",163.8
ÿCuba,"26,892",247.4,"24,558",226.8,"22,796",199.1,"21,147",187
ÿFrench Polynesia,477,247.1,477,247.1,400,211.2,400,211.2
ÿGeorgia,"7,253",246.8,"6,996",239.2,"6,436",165.5,"6,188",161.6
ÿSamoa,191,242.1,191,242.1,209,246.3,209,246.3
