Country,Male Including NMSC Number,Male Including NMSC Rate,Male Excluding NMSC Number,Male Excluding NMSC Rate,Female Including NMSC Number,Female Including NMSC Rate,Female Excluding NMSC Number,Female Excluding NMSC Rate
ÿMongolia,"2,719",227.5,"2,717",227.3,"2,210",145.5,"2,206",145.2
ÿBelarus,"13,564",192.7,"13,508",191.9,"9,080",79.4,"9,021",79.1
ÿHungary,"17,355",187.9,"17,237",186.8,"15,127",112.2,"15,008",111.6
ÿLithuania,"4,639",181.6,"4,615",180.9,"3,710",88.7,"3,679",88.4
ÿRomania,"32,830",179,"32,475",177.4,"23,386",96.1,"23,152",95.5
ÿLatvia,"3,160",178.5,"3,130",177.1,"2,712",89.5,"2,678",89
ÿMoldova,"4,847",177.5,"4,820",176.5,"3,301",84.7,"3,279",84.3
ÿPoland,"65,742",172.8,"65,245",171.8,"54,250",104.3,"53,737",103.8
ÿCroatia,"8,129",172,"8,079",171.2,"5,725",91.9,"5,658",91.4
ÿTurkey,"82,446",168.3,"82,146",167.7,"47,226",75.8,"46,953",75.5
ÿUruguay,"4,920",168.1,"4,888",167.2,"4,060",101.4,"4,045",101.3
ÿSlovakia,"8,393",166.9,"8,339",165.9,"6,773",95.9,"6,704",95.3
ÿEstonia,"2,201",164.7,"2,187",163.9,"1,885",82.9,"1,862",82.4
ÿSerbia,"13,570",161,"13,436",159.7,"10,311",101.9,"10,210",101.3
ÿArmenia,"3,244",160.3,"3,227",159.5,"2,617",87,"2,597",86.5
ÿRussia,"164,172",153,"163,399",152.3,"147,557",84.9,"146,761",84.6
ÿFrench Polynesia,296,152,296,152,185,94.2,185,94.2
ÿGeorgia,"4,636",151.7,"4,511",148.3,"3,823",84.5,"3,727",83.2
ÿBosnia and Herzegovina,"5,051",151.2,"5,008",150.1,"3,539",87.9,"3,504",87.3
ÿMontenegro,847,149.7,840,148.6,688,98.8,681,98.2
ÿPortugal,"19,510",148.8,"19,382",148.1,"14,252",77.5,"14,121",77.1
ÿBulgaria,"10,763",148.8,"10,659",147.7,"8,031",88,"7,964",87.5
ÿSlovenia,"3,876",147.3,"3,844",146.3,"3,022",92.6,"2,992",92.1
ÿSouth Africa,"30,653",146.3,"30,098",143.6,"33,894",110.6,"33,548",109.4
ÿSamoa,111,144.7,111,144.7,97,113.7,97,113.7
ÿUkraine,"47,415",144.4,"47,126",143.6,"36,738",73.7,"36,456",73.3
ÿNorth Korea,"22,385",143.2,"22,321",142.8,"20,404",93.9,"20,323",93.5
ÿNorth Macedonia,"2,607",143.1,"2,571",141.3,"1,757",86.2,"1,741",85.6
ÿZimbabwe,"4,376",142.3,"4,320",140.2,"7,363",150.9,"7,279",149
ÿNew Caledonia,273,139.8,272,139.5,194,90.8,194,90.8
ÿFrance,"106,921",135.7,"106,262",135.1,"83,691",82.8,"83,204",82.5
ÿCyprus,"1,574",134.8,"1,550",133,"1,263",92.6,"1,256",92.3
ÿNamibia,897,134,856,126.6,"1,043",103.4,"1,017",100.5
ÿCuba,"15,854",133.1,"15,592",131.1,"11,870",91.2,"11,712",90.3
ÿLaos,"3,544",132.9,"3,525",132.2,"2,671",89.4,"2,651",88.6
ÿVietnam,"71,385",132.6,"71,141",132.2,"48,799",72.7,"48,553",72.4
ÿSingapore,"7,659",131.4,"7,643",131.1,"5,618",92.9,"5,605",92.6
ÿCzech Republic,"15,488",129.9,"15,370",129.1,"12,583",82.8,"12,512",82.5
ÿGreece,"19,120",129.7,"19,020",129.3,"13,265",76.4,"13,203",76.3
ÿPhilippines,"56,863",129.3,"56,557",128.6,"56,506",102,"56,274",101.6
ÿChina,"1,629,288",127.5,"1,622,045",127,"944,888",67.8,"938,567",67.4
ÿEgypt,"51,692",127.4,"50,988",125.6,"43,583",92.2,"43,081",91.1
ÿGuam,153,125.8,153,125.8,114,80.9,114,80.9
ÿR‚union,955,125.1,955,125.1,625,70.4,624,70.3
ÿBarbados,381,124.9,381,124.9,357,104.5,356,104.4
ÿKazakhstan,"11,365",123.9,"11,287",123,"9,321",71.6,"9,247",71.2
ÿArgentina,"36,588",123.6,"36,312",122.8,"33,663",88.7,"33,512",88.4
ÿJamaica,"2,423",122.9,"2,417",122.6,"2,209",110.6,"2,206",110.5
ÿAzerbaijan,"6,601",122.8,"6,541",121.7,"4,713",71,"4,685",70.6
ÿCambodia,"7,150",121.9,"7,085",120.7,"6,649",83.4,"6,597",82.7
ÿDenmark,"9,124",119.7,"9,064",119.1,"8,080",95.9,"8,047",95.7
ÿGuadeloupe,533,119.4,533,119.4,419,73.5,418,73.5
ÿBahamas,266,119.2,266,119.2,286,103.3,286,103.3
ÿGermany,"137,826",118.7,"137,070",118.2,"115,344",83.9,"114,805",83.7
ÿPapua New Guinea,"3,274",118.6,"3,127",112.2,"3,926",122.2,"3,806",117.5
ÿPalestine,"1,676",117.5,"1,663",116.5,"1,335",81.5,"1,332",81.3
ÿSpain,"69,442",117.2,"68,969",116.6,"46,148",65.3,"45,839",65.1
ÿNetherlands,"27,172",116.7,"27,087",116.4,"22,618",92.3,"22,566",92.2
ÿAlbania,"3,049",116.6,"3,014",115.5,"1,906",66.3,"1,886",65.9
ÿUganda,"10,708",116.3,"10,619",115.3,"13,921",115.5,"13,821",114.5
ÿMyanmar,"27,518",114.9,"27,200",113.5,"27,323",85.1,"27,018",84.2
ÿSuriname,340,114.8,340,114.8,286,76.1,286,76.1
ÿLibya,"2,920",113.6,"2,903",113,"2,396",74.4,"2,388",74.1
ÿItaly,"103,859",113.3,"103,029",112.6,"89,847",79,"89,198",78.6
ÿNew Zealand,"6,065",112.6,"5,939",110.7,"5,236",90,"5,172",89.2
ÿThailand,"65,100",112.4,"64,523",111.5,"53,729",78.2,"53,237",77.6
ÿBelgium,"16,045",111.7,"15,974",111.3,"12,960",76.6,"12,901",76.4
ÿUnited Kingdom,"97,129",111.3,"96,123",110.3,"84,678",87.6,"84,171",87.3
ÿIran,"50,713",110.8,"50,367",110.1,"36,534",81.4,"36,344",80.9
ÿZambia,"4,121",110.7,"4,077",109.4,"5,649",113.1,"5,617",112.4
ÿSouth Korea,"61,059",110.6,"60,927",110.3,"36,556",51,"36,341",50.8
ÿCanada,"52,714",110.4,"52,127",109.3,"47,751",85,"47,428",84.6
World,"5,427,827",109.8,"5,390,596",109,"4,313,548",76.9,"4,283,820",76.4
ÿFrench Guiana,138,109.7,138,109.7,95,63.6,95,63.6
ÿAustria,"12,167",109.5,"12,069",108.8,"10,214",76.7,"10,137",76.4
ÿIreland,"5,463",109.1,"5,384",107.6,"4,975",90,"4,926",89.4
ÿTrinidad and Tobago,"1,169",109.1,"1,166",108.9,"1,052",89.1,"1,050",89
ÿChile,"16,897",107.8,"16,727",106.8,"14,543",77.6,"14,427",77.2
ÿBrazil,"146,702",107.7,"144,948",106.5,"132,133",79.4,"130,814",78.8
ÿTunisia,"7,761",106.6,"7,680",105.5,"4,819",57.5,"4,770",57
ÿHaiti,"4,595",106.2,"4,576",105.7,"4,419",82.6,"4,396",82.1
ÿKyrgyzstan,"2,454",105.9,"2,431",104.5,"2,218",68,"2,191",67.2
ÿBrunei,229,105.6,229,105.6,235,104.2,235,104.2
ÿMorocco,"21,155",105,"21,056",104.5,"15,792",70.5,"15,698",70.1
ÿVenezuela,"16,346",104.6,"15,964",102.2,"15,391",82.5,"15,108",81.2
ÿChad,"3,937",104.4,"3,932",104.3,"3,320",71.7,"3,316",71.6
ÿSyria,"7,217",103.7,"7,077",101.5,"6,631",80.5,"6,570",79.8
ÿNorway,"6,855",102.1,"6,826",101.7,"6,538",83.5,"6,497",83.2
ÿLebanon,"3,950",101.1,"3,861",98.9,"3,357",85.8,"3,317",85
ÿJapan,"240,823",100.7,"240,225",100.5,"185,455",61.3,"184,800",61.2
ÿDominican Republic,"6,176",100.4,"6,131",99.7,"5,568",85.8,"5,522",85.2
ÿAustralia,"29,368",100.2,"28,848",98.6,"22,516",71.2,"22,278",70.7
ÿParaguay,"3,532",99.8,"3,487",98.6,"3,049",81.8,"3,010",81
ÿMalawi,"5,231",98.8,"5,148",96.7,"8,748",137,"8,654",135.3
ÿKenya,"11,314",98.4,"11,212",97.6,"18,003",112.8,"17,879",112
ÿTanzania,"12,796",97.2,"12,702",96.4,"16,947",100.1,"16,765",98.9
ÿPuerto Rico,"3,212",96.1,"3,179",95.3,"2,584",59.9,"2,567",59.7
ÿMalta,570,96.1,568,95.9,466,69.7,465,69.6
ÿBurundi,"2,431",95.3,"2,409",94.3,"3,329",103.4,"3,298",102.2
ÿFinland,"7,272",95.2,"7,238",94.9,"6,173",67.8,"6,151",67.6
ÿTurkmenistan,"2,183",94.6,"2,163",93.7,"2,273",74.8,"2,257",74.3
ÿJordan,"3,453",94.5,"3,425",93.6,"3,005",75.5,"2,987",75
ÿIndonesia,"128,740",93.9,"127,403",92.9,"114,248",73.9,"113,134",73.1
ÿMartinique,459,93.3,459,93.3,427,68.5,426,68.4
ÿUnited States,"320,641",93.2,"317,177",92.3,"285,120",73.6,"283,793",73.3
ÿMalaysia,"16,980",93.1,"16,845",92.4,"14,653",79.9,"14,575",79.5
ÿIsrael,"6,500",92.9,"6,434",92.2,"6,355",75.5,"6,281",74.9
ÿSweden,"13,208",92.4,"13,139",92,"12,361",80,"12,322",79.8
