Country,Including NMSC Number, Including NMSC Rate,Excluding NMSC Number,Excluding NMSC Rate
ÿMongolia,"4,929",181.5,"4,923",181.3
ÿZimbabwe,"11,739",144,"11,599",142.1
ÿHungary,"32,482",143.7,"32,245",142.9
ÿPoland,"119,992",133.1,"118,982",132.4
ÿRomania,"56,216",132.5,"55,627",131.5
ÿSerbia,"23,881",128.4,"23,646",127.5
ÿUruguay,"8,980",128.3,"8,933",127.8
ÿSamoa,208,126.3,208,126.3
ÿSlovakia,"15,166",125.7,"15,043",124.9
ÿCroatia,"13,854",125.7,"13,737",125.1
ÿLithuania,"8,349",125,"8,294",124.5
ÿBelarus,"22,644",123.5,"22,529",123
ÿLatvia,"5,872",122.9,"5,808",122.1
ÿMoldova,"8,148",122.8,"8,099",122.1
ÿSouth Africa,"64,547",122.5,"63,646",120.8
ÿFrench Polynesia,481,122.3,481,122.3
ÿMontenegro,"1,535",121.4,"1,521",120.6
ÿPapua New Guinea,"7,200",119.8,"6,933",114.3
ÿMalawi,"13,979",117.9,"13,802",116
ÿSlovenia,"6,898",116.7,"6,836",116
ÿArmenia,"5,861",116.7,"5,824",116.1
ÿJamaica,"4,632",116.6,"4,623",116.4
ÿTurkey,"129,672",116.1,"129,099",115.6
ÿBosnia and Herzegovina,"8,590",116.1,"8,512",115.2
ÿEstonia,"4,086",114.4,"4,049",113.8
ÿBulgaria,"18,794",114.2,"18,623",113.4
ÿNorth Korea,"42,789",113.9,"42,644",113.5
ÿUganda,"24,629",113.9,"24,440",112.9
ÿBarbados,738,113.3,737,113.2
ÿNew Caledonia,467,113.2,466,113
ÿNamibia,"1,940",113,"1,873",108.4
ÿPhilippines,"113,369",112.9,"112,831",112.4
ÿNorth Macedonia,"4,364",112.5,"4,312",111.4
ÿGeorgia,"8,459",111.7,"8,238",109.6
ÿCyprus,"2,837",111.5,"2,806",110.6
ÿSingapore,"13,277",110.8,"13,248",110.5
ÿRussia,"311,729",110.5,"310,160",110
ÿCuba,"27,724",110.2,"27,304",108.9
ÿLaos,"6,215",109.9,"6,176",109.1
ÿZambia,"9,770",109.2,"9,694",108.2
ÿBahamas,552,109.2,552,109.2
ÿPortugal,"33,762",109,"33,503",108.4
ÿEgypt,"95,275",107.7,"94,069",106.3
ÿFrance,"190,612",106.7,"189,466",106.3
ÿDenmark,"17,204",106.5,"17,111",106.1
ÿBrunei,464,104.6,464,104.6
ÿKenya,"29,317",104,"29,091",103.2
ÿCzech Republic,"28,071",103.8,"27,882",103.2
ÿNetherlands,"49,790",103.2,"49,653",103
ÿArgentina,"70,251",102.7,"69,824",102.2
ÿMali,"10,678",102.4,"10,541",100.9
ÿUkraine,"84,153",101.1,"83,582",100.6
ÿGuam,267,101.1,267,101.1
ÿGreece,"32,385",100.6,"32,223",100.3
ÿNew Zealand,"11,301",100.2,"11,111",99
ÿGermany,"253,170",99.7,"251,875",99.4
ÿCambodia,"13,799",99.3,"13,682",98.4
ÿVietnam,"120,184",99,"119,694",98.7
ÿIreland,"10,438",98.7,"10,310",97.7
ÿBurundi,"5,760",98.7,"5,707",97.6
ÿBurkina Faso,"10,998",98.5,"10,903",97.4
ÿFiji,865,98.5,863,98
ÿUnited Kingdom,"181,807",98.3,"180,294",97.6
ÿPalestine,"3,011",98,"2,995",97.4
ÿMyanmar,"54,841",97.1,"54,218",95.9
ÿTanzania,"29,743",97.1,"29,467",96.2
ÿTrinidad and Tobago,"2,221",96.8,"2,216",96.7
ÿChina,"2,574,176",96.5,"2,560,612",96
